Zone,Temp_in,Salinity,mean_vals
Diffuse,25.36276525,34.54888366,379.6590899815
Diffuse,25.41696805,34.50581354,378.38083664600003
Diffuse,25.44160305,34.53394097,375.5699955895
Diffuse,25.46793771,33.91074262,380.11062698016667
Diffuse,25.4691375,34.45219563,374.85599876916666
Diffuse,25.4691375,34.56426585,376.1632543751667
Diffuse,25.47615229,34.39198535,375.58358319983336
Diffuse,25.48436687,34.47592815,376.5854178621667
Diffuse,25.48436687,34.5669028,378.4449398855
Diffuse,25.5396418,34.52603013,382.6464955585
Diffuse,25.5747585,34.34364133,379.36011801033334
Diffuse,25.57880871,34.54141232,383.40906261883333
Diffuse,25.65082403,34.5075715,379.3710766528333
Diffuse,25.65252817,34.48515746,377.44408656499996
Diffuse,25.67325055,34.52515115,379.6175938885
Diffuse,25.73860766,34.4474764,368.07426083583334
Diffuse,25.76804737,34.49526575,378.26366727133336
Diffuse,25.82009286,34.21926536,377.50733235616667
Diffuse,25.83356331,34.50361608,376.6747614706666
Diffuse,25.88621737,34.25849836,378.437789497
Diffuse,25.89532258,34.57832957,377.6366707635
Diffuse,25.93392292,34.60308084,374.1782952858333
Diffuse,25.95708185,34.57569262,375.03932891983334
Diffuse,25.99096602,34.08620711,374.66186768599994
Diffuse,26.03382707,34.23763985,376.0564725458333
Diffuse,26.04415533,34.62060199,386.5227815458333
Diffuse,26.0501276,34.58013649,374.9619150395
Diffuse,26.07985873,34.63395143,384.825309373
Diffuse,26.08314479,34.54976265,375.4378996516666
Diffuse,26.09454258,34.63186558,379.00594932683333
Diffuse,26.13841495,34.63645445,379.84742971333327
Diffuse,26.1586899,34.2105238,381.659616429
Diffuse,26.16875144,32.65990261,397.0093014093334
Diffuse,26.21514327,33.3515706,386.61776925550004
Diffuse,26.22549947,34.08578994,370.0995980936667
Diffuse,26.25084177,34.62435652,381.93489982949995
Diffuse,26.27084599,32.9473328,398.9404717116667
Diffuse,26.2823993,34.62435652,383.1175095573333
Diffuse,26.31830068,34.63687162,379.6641694225
Diffuse,26.32904648,34.21302682,382.0649080965
Diffuse,26.32914645,32.66866318,402.38580501549995
Diffuse,26.33574397,34.62352218,381.3719141523334
Diffuse,26.3741154,34.10080807,363.97766225183335
Diffuse,26.42200645,34.54185181,378.56997478733336
Diffuse,26.4641387,31.43383975,413.2920609651666
Diffuse,26.46962893,34.61142425,390.7490322996666
Diffuse,26.47511916,34.61851614,380.1989517031667
Diffuse,26.49456815,34.61643029,384.8471925746667
